Date,Product type,SKU,Daily Sales,Stock Level,Price,Revenue Generated,Season,Demand Factor
2024-10-20,skincare,SKU35,4,0.0,93.96,375.84,Summer,1.3386178857535795
2024-10-21,skincare,SKU35,3,0.0,93.96,281.88,Summer,1.3386178857535795
2024-10-22,skincare,SKU35,5,0.0,93.96,469.79999999999995,Summer,1.3386178857535795
2024-10-23,skincare,SKU35,9,0.0,93.96,845.64,Summer,1.3386178857535795
2024-10-24,skincare,SKU35,4,0.0,93.96,375.84,Summer,1.3386178857535795
2024-10-25,skincare,SKU35,2,0.0,93.96,187.92,Summer,1.3386178857535795
2024-10-26,skincare,SKU35,8,0.0,93.96,751.68,Summer,1.3386178857535795
2024-10-27,skincare,SKU35,2,0.0,93.96,187.92,Summer,1.3386178857535795
2024-10-28,skincare,SKU35,4,0.0,93.96,375.84,Summer,1.3386178857535795
2024-10-29,skincare,SKU35,5,0.0,93.96,469.79999999999995,Summer,1.3386178857535795
2024-10-30,skincare,SKU35,4,0.0,93.96,375.84,Summer,1.3386178857535795
2024-10-31,skincare,SKU35,1,0.0,93.96,93.96,Summer,1.3386178857535795
2024-11-01,skincare,SKU35,5,0.0,93.96,469.79999999999995,Summer,1.3386178857535795
2024-11-02,skincare,SKU35,4,0.0,93.96,375.84,Summer,1.3386178857535795
2024-11-03,skincare,SKU35,3,0.0,93.96,281.88,Summer,1.3386178857535795
2024-11-04,skincare,SKU35,4,0.0,93.96,375.84,Summer,1.3386178857535795
2024-11-05,skincare,SKU35,10,0.0,93.96,939.5999999999999,Summer,1.3386178857535795
2024-11-06,skincare,SKU35,8,0.0,93.96,751.68,Summer,1.3386178857535795
2024-11-07,skincare,SKU35,8,0.0,93.96,751.68,Summer,1.3386178857535795
2024-11-08,skincare,SKU35,4,0.0,93.96,375.84,Summer,1.3386178857535795
2024-11-09,skincare,SKU35,3,0.0,93.96,281.88,Summer,1.3386178857535795
2024-11-10,skincare,SKU35,3,0.0,93.96,281.88,Summer,1.3386178857535795
2024-11-11,skincare,SKU35,5,0.0,93.96,469.79999999999995,Summer,1.3386178857535795
2024-11-12,skincare,SKU35,3,0.0,93.96,281.88,Summer,1.3386178857535795
2024-11-13,skincare,SKU35,6,0.0,93.96,563.76,Summer,1.3386178857535795
2024-11-14,skincare,SKU35,4,0.0,93.96,375.84,Summer,1.3386178857535795
2024-11-15,skincare,SKU35,2,0.0,93.96,187.92,Summer,1.3386178857535795
2024-11-16,skincare,SKU35,2,0.0,93.96,187.92,Summer,1.3386178857535795
2024-11-17,skincare,SKU35,5,0.0,93.96,469.79999999999995,Summer,1.3386178857535795
2024-11-18,skincare,SKU35,1,0.0,93.96,93.96,Summer,1.3386178857535795
2024-10-20,haircare,SKU1,1,3.9698132995760007,27.64,27.64,Fall,0.938522459001286
2024-10-21,haircare,SKU1,1,2.9698132995760007,27.64,27.64,Fall,0.938522459001286
2024-10-22,haircare,SKU1,0,2.9698132995760007,27.64,0.0,Fall,0.938522459001286
2024-10-23,haircare,SKU1,1,1.9698132995760007,27.64,27.64,Fall,0.938522459001286
2024-10-24,haircare,SKU1,1,0.9698132995760007,27.64,27.64,Fall,0.938522459001286
2024-10-25,haircare,SKU1,1,0.0,27.64,27.64,Fall,0.938522459001286
2024-10-26,haircare,SKU1,4,0.0,27.64,110.56,Fall,0.938522459001286
2024-10-27,haircare,SKU1,2,0.0,27.64,55.28,Fall,0.938522459001286
2024-10-28,haircare,SKU1,2,0.0,27.64,55.28,Fall,0.938522459001286
2024-10-29,haircare,SKU1,2,0.0,27.64,55.28,Fall,0.938522459001286
2024-10-30,haircare,SKU1,3,0.0,27.64,82.92,Fall,0.938522459001286
2024-10-31,haircare,SKU1,2,0.0,27.64,55.28,Fall,0.938522459001286
2024-11-01,haircare,SKU1,0,0.0,27.64,0.0,Fall,0.938522459001286
2024-11-02,haircare,SKU1,5,0.0,27.64,138.2,Fall,0.938522459001286
2024-11-03,haircare,SKU1,0,0.0,27.64,0.0,Fall,0.938522459001286
2024-11-04,haircare,SKU1,2,0.0,27.64,55.28,Fall,0.938522459001286
2024-11-05,haircare,SKU1,2,0.0,27.64,55.28,Fall,0.938522459001286
2024-11-06,haircare,SKU1,6,0.0,27.64,165.84,Fall,0.938522459001286
2024-11-07,haircare,SKU1,2,0.0,27.64,55.28,Fall,0.938522459001286
2024-11-08,haircare,SKU1,0,0.0,27.64,0.0,Fall,0.938522459001286
2024-11-09,haircare,SKU1,1,0.0,27.64,27.64,Fall,0.938522459001286
2024-11-10,haircare,SKU1,1,0.0,27.64,27.64,Fall,0.938522459001286
2024-11-11,haircare,SKU1,0,0.0,27.64,0.0,Fall,0.938522459001286
2024-11-12,haircare,SKU1,0,0.0,27.64,0.0,Fall,0.938522459001286
2024-11-13,haircare,SKU1,3,0.0,27.64,82.92,Fall,0.938522459001286
2024-11-14,haircare,SKU1,0,0.0,27.64,0.0,Fall,0.938522459001286
2024-11-15,haircare,SKU1,1,0.0,27.64,27.64,Fall,0.938522459001286
2024-11-16,haircare,SKU1,2,0.0,27.64,55.28,Fall,0.938522459001286
2024-11-17,haircare,SKU1,4,0.0,27.64,110.56,Fall,0.938522459001286
2024-11-18,haircare,SKU1,3,0.0,27.64,82.92,Fall,0.938522459001286
2024-10-20,haircare,SKU44,100,0.0,24.85,2485.0,Fall,1.1825183086383102
2024-10-21,haircare,SKU44,87,0.0,24.85,2161.9500000000003,Fall,1.1825183086383102
2024-10-22,haircare,SKU44,103,0.0,24.85,2559.55,Fall,1.1825183086383102
2024-10-23,haircare,SKU44,99,0.0,24.85,2460.15,Fall,1.1825183086383102
2024-10-24,haircare,SKU44,108,0.0,24.85,2683.8,Fall,1.1825183086383102
2024-10-25,haircare,SKU44,107,0.0,24.85,2658.9500000000003,Fall,1.1825183086383102
2024-10-26,haircare,SKU44,117,0.0,24.85,2907.4500000000003,Fall,1.1825183086383102
2024-10-27,haircare,SKU44,108,0.0,24.85,2683.8,Fall,1.1825183086383102
2024-10-28,haircare,SKU44,99,0.0,24.85,2460.15,Fall,1.1825183086383102
2024-10-29,haircare,SKU44,126,0.0,24.85,3131.1000000000004,Fall,1.1825183086383102
2024-10-30,haircare,SKU44,110,0.0,24.85,2733.5,Fall,1.1825183086383102
2024-10-31,haircare,SKU44,129,0.0,24.85,3205.65,Fall,1.1825183086383102
2024-11-01,haircare,SKU44,112,0.0,24.85,2783.2000000000003,Fall,1.1825183086383102
2024-11-02,haircare,SKU44,89,0.0,24.85,2211.65,Fall,1.1825183086383102
2024-11-03,haircare,SKU44,117,0.0,24.85,2907.4500000000003,Fall,1.1825183086383102
2024-11-04,haircare,SKU44,94,0.0,24.85,2335.9,Fall,1.1825183086383102
2024-11-05,haircare,SKU44,111,0.0,24.85,2758.3500000000004,Fall,1.1825183086383102
2024-11-06,haircare,SKU44,117,0.0,24.85,2907.4500000000003,Fall,1.1825183086383102
2024-11-07,haircare,SKU44,117,0.0,24.85,2907.4500000000003,Fall,1.1825183086383102
2024-11-08,haircare,SKU44,121,0.0,24.85,3006.8500000000004,Fall,1.1825183086383102
2024-11-09,haircare,SKU44,106,0.0,24.85,2634.1000000000004,Fall,1.1825183086383102
2024-11-10,haircare,SKU44,89,0.0,24.85,2211.65,Fall,1.1825183086383102
2024-11-11,haircare,SKU44,117,0.0,24.85,2907.4500000000003,Fall,1.1825183086383102
2024-11-12,haircare,SKU44,121,0.0,24.85,3006.8500000000004,Fall,1.1825183086383102
2024-11-13,haircare,SKU44,116,0.0,24.85,2882.6000000000004,Fall,1.1825183086383102
2024-11-14,haircare,SKU44,105,0.0,24.85,2609.25,Fall,1.1825183086383102
2024-11-15,haircare,SKU44,103,0.0,24.85,2559.55,Fall,1.1825183086383102
2024-11-16,haircare,SKU44,117,0.0,24.85,2907.4500000000003,Fall,1.1825183086383102
2024-11-17,haircare,SKU44,103,0.0,24.85,2559.55,Fall,1.1825183086383102
2024-11-18,haircare,SKU44,119,0.0,24.85,2957.15,Fall,1.1825183086383102
